HB030_old,HB030
303876,30387600
303878,30387800
303879,30387900
303880,30388000
303882,30388200
303883,30388300
303886,30388600
303887,30388700
303888,30388800
303889,30388900
303892,30389200
303893,30389300
303894,30389400
303895,30389500
303896,30389600
303898,30389800
303899,30389900
303901,30390100
303902,30390200
303903,30390300
303906,30390600
303907,30390700
303908,30390800
303910,30391000
303911,30391100
303912,30391200
303913,30391300
303914,30391400
303916,30391600
303917,30391700
303918,30391800
303919,30391900
303920,30392000
303921,30392100
303923,30392300
303925,30392500
303926,30392600
303927,30392700
303928,30392800
303929,30392900
303931,30393100
303937,30393700
303938,30393800
303939,30393900
303940,30394000
303941,30394100
303942,30394200
303949,30394900
303950,30395000
303951,30395100
303952,30395200
303954,30395400
303956,30395600
303958,30395800
303959,30395900
303962,30396200
303963,30396300
303965,30396500
303966,30396600
303970,30397000
303971,30397100
303972,30397200
303975,30397500
303976,30397600
303977,30397700
303979,30397900
303980,30398000
303981,30398100
303982,30398200
303983,30398300
303984,30398400
303985,30398500
303987,30398700
303989,30398900
303990,30399000
303991,30399100
303994,30399400
303995,30399500
303996,30399600
303997,30399700
303998,30399800
304000,30400000
304001,30400100
304003,30400300
304004,30400400
304005,30400500
304006,30400600
304007,30400700
304009,30400900
304010,30401000
304011,30401100
304012,30401200
304014,30401400
304015,30401500
304016,30401600
304018,30401800
304019,30401900
304020,30402000
304022,30402200
304023,30402300
304025,30402500
304026,30402600
304027,30402700
304028,30402800
304029,30402900
304030,30403000
304032,30403200
304033,30403300
304034,30403400
304035,30403500
304036,30403600
304037,30403700
304039,30403900
304040,30404000
304041,30404100
304042,30404200
304043,30404300
304044,30404400
304045,30404500
304048,30404800
304049,30404900
304050,30405000
304054,30405400
304057,30405700
304059,30405900
304060,30406000
304063,30406300
304064,30406400
304067,30406700
304068,30406800
304069,30406900
304070,30407000
304071,30407100
304072,30407200
304073,30407300
304074,30407400
304075,30407500
304076,30407600
304078,30407800
304079,30407900
304080,30408000
304083,30408300
304084,30408400
304085,30408500
304086,30408600
304087,30408700
304089,30408900
304090,30409000
304091,30409100
304094,30409400
304097,30409700
304099,30409900
304100,30410000
304102,30410200
304103,30410300
304104,30410400
304106,30410600
304108,30410800
304110,30411000
304111,30411100
304112,30411200
304113,30411300
304116,30411600
304118,30411800
304119,30411900
304120,30412000
304121,30412100
304122,30412200
304123,30412300
304124,30412400
304125,30412500
304126,30412600
304127,30412700
304128,30412800
304129,30412900
304131,30413100
304133,30413300
304134,30413400
304135,30413500
304136,30413600
304137,30413700
304139,30413900
304143,30414300
304144,30414400
304145,30414500
304146,30414600
304147,30414700
304148,30414800
304150,30415000
304154,30415400
304155,30415500
304158,30415800
304160,30416000
304161,30416100
304163,30416300
304164,30416400
304165,30416500
304166,30416600
304167,30416700
304168,30416800
304169,30416900
304170,30417000
304171,30417100
304175,30417500
304176,30417600
304177,30417700
304178,30417800
304181,30418100
304182,30418200
304183,30418300
304186,30418600
304188,30418800
304191,30419100
304192,30419200
304193,30419300
304194,30419400
304195,30419500
304197,30419700
304198,30419800
304200,30420000
304201,30420100
304202,30420200
304203,30420300
304206,30420600
304207,30420700
304209,30420900
304210,30421000
304211,30421100
304212,30421200
304213,30421300
304214,30421400
304217,30421700
304219,30421900
304220,30422000
304221,30422100
304222,30422200
304223,30422300
304224,30422400
304225,30422500
304226,30422600
304228,30422800
