HB030,HB030_new
107958,10795800
107960,10796000
107962,10796200
107963,10796300
107965,10796500
107966,10796600
107967,10796700
107968,10796800
107972,10797200
107973,10797300
107977,10797700
107979,10797900
107981,10798100
107982,10798200
107983,10798300
107985,10798500
107986,10798600
107988,10798800
107991,10799100
107996,10799600
107997,10799700
107999,10799900
108003,10800300
108005,10800500
108006,10800600
108007,10800700
108008,10800800
108010,10801000
108011,10801100
108013,10801300
108014,10801400
108015,10801500
108016,10801600
108017,10801700
108020,10802000
108021,10802100
108022,10802200
108024,10802400
108025,10802500
108026,10802600
108027,10802700
108028,10802800
108029,10802900
108036,10803600
108037,10803700
108040,10804000
108041,10804100
108045,10804500
108047,10804700
108048,10804800
108049,10804900
108051,10805100
108056,10805600
108060,10806000
108065,10806500
108067,10806700
108068,10806800
108069,10806900
108074,10807400
108075,10807500
108077,10807700
108078,10807800
108081,10808100
108082,10808200
108084,10808400
108087,10808700
108088,10808800
108090,10809000
108091,10809100
108092,10809200
108093,10809300
108094,10809400
108095,10809500
108096,10809600
108097,10809700
108098,10809800
108100,10810000
108101,10810100
108107,10810700
108108,10810800
108109,10810900
108110,10811000
108114,10811400
108118,10811800
108121,10812100
108122,10812200
108124,10812400
108125,10812500
108126,10812600
108127,10812700
108128,10812800
108130,10813000
108131,10813100
108137,10813700
108140,10814000
108141,10814100
108149,10814900
108150,10815000
108152,10815200
108156,10815600
108158,10815800
108164,10816400
108165,10816500
108168,10816800
108170,10817000
108171,10817100
108173,10817300
108181,10818100
108182,10818200
108186,10818600
108187,10818700
108188,10818800
108189,10818900
108190,10819000
108191,10819100
108193,10819300
108194,10819400
108195,10819500
108196,10819600
108199,10819900
108200,10820000
108202,10820200
108203,10820300
108204,10820400
108206,10820600
108215,10821500
108216,10821600
108217,10821700
108218,10821800
108221,10822100
108224,10822400
108227,10822700
108228,10822800
108229,10822900
108230,10823000
108231,10823100
108232,10823200
108233,10823300
108234,10823400
108239,10823900
108240,10824000
108242,10824200
108244,10824400
108246,10824600
108248,10824800
108251,10825100
108254,10825400
108255,10825500
108257,10825700
108258,10825800
108259,10825900
108260,10826000
108263,10826300
108266,10826600
108268,10826800
108269,10826900
108270,10827000
108271,10827100
108274,10827400
108275,10827500
108277,10827700
108278,10827800
108280,10828000
108287,10828700
108289,10828900
108291,10829100
108293,10829300
108295,10829500
108296,10829600
108297,10829700
108298,10829800
108299,10829900
108303,10830300
108309,10830900
108310,10831000
108311,10831100
