PB030_old,PB030
20051902,2005190002
20051904,2005190004
20052001,2005200001
20052101,2005210001
20052102,2005210002
20052103,2005210003
20052201,2005220001
20052202,2005220002
20052301,2005230001
20052302,2005230002
20052401,2005240001
20052403,2005240003
20052501,2005250001
20052502,2005250002
20052601,2005260001
20052701,2005270001
20053001,2005300001
20053601,2005360001
20053602,2005360002
20053701,2005370001
20053702,2005370002
20053801,2005380001
20053802,2005380002
20053901,2005390001
20053902,2005390002
20054001,2005400001
20054002,2005400002
20054003,2005400003
20054202,2005420002
20054203,2005420003
20054204,2005420004
20054205,2005420005
20054301,2005430001
20054302,2005430002
20054305,2005430005
20054401,2005440001
20054402,2005440002
20054601,2005460001
20054801,2005480001
20054901,2005490001
20054908,2005490008
20055001,2005500001
20055301,2005530001
20055401,2005540001
20055402,2005540002
20055601,2005560001
20055701,2005570001
20056001,2005600001
20056002,2005600002
20056101,2005610001
20056102,2005610002
20056201,2005620001
20056202,2005620002
20056301,2005630001
20056302,2005630002
20056303,2005630003
20056304,2005630004
20056401,2005640001
20056402,2005640002
20056403,2005640003
20056404,2005640004
20056501,2005650001
20056502,2005650002
20056503,2005650003
20056601,2005660001
20056602,2005660002
20056603,2005660003
20056604,2005660004
20056605,2005660005
20056606,2005660006
20056607,2005660007
20056608,2005660008
20056609,2005660009
20056610,2005660010
20056611,2005660011
20056801,2005680001
20056802,2005680002
20057101,2005710001
20057102,2005710002
20057103,2005710003
20057104,2005710004
20057105,2005710005
20057107,2005710007
20057108,2005710008
20057109,2005710009
20057401,2005740001
20057402,2005740002
20057403,2005740003
20057501,2005750001
20057502,2005750002
20057503,2005750003
20057601,2005760001
20057602,2005760002
20057603,2005760003
20057605,2005760005
20057701,2005770001
20057901,2005790001
20057902,2005790002
20057903,2005790003
20058001,2005800001
20058002,2005800002
20058003,2005800003
20058004,2005800004
20058201,2005820001
20058301,2005830001
20058302,2005830002
20058303,2005830003
20058304,2005830004
20058401,2005840001
20058402,2005840002
20058501,2005850001
20058503,2005850003
20058504,2005850004
20058601,2005860001
20058801,2005880001
20058803,2005880003
20058804,2005880004
20058901,2005890001
20058902,2005890002
20059001,2005900001
20059002,2005900002
20059201,2005920001
20059202,2005920002
20059301,2005930001
20059302,2005930002
20059304,2005930004
20059305,2005930005
20059402,2005940002
20059501,2005950001
20059502,2005950002
20059601,2005960001
20059602,2005960002
20060101,2006010001
20060102,2006010002
20060103,2006010003
